name,keywords,introduction,suitable_for,category
腦波機,"腦波機, 腦波, TMS, 經顱磁刺激, DeepTMS","Deep TMS 腦波科技治療，是一項非侵入性的深層經顱磁刺激技術，透過專利帽罩式 H 型磁場線圈，就像用「無形電流替大腦按摩」來刺激大腦神經元之間的迴路暢通，穩定中樞系統，針對自律神經失調：壓力過大、焦慮、失眠狀況效果顯著。同時激活「細胞能量核心—粒線體」的修復與再生。

 主要治療功效：
 ▲改善自律神經｜失眠、焦慮、憂鬱與恐慌
 ▲提升深層睡眠｜延長睡眠促進修復
 ▲減少藥物依賴｜擺脫過度藥物使用
 ▲增強腦部功能｜提升記憶與專注力
 ▲延緩神經退化｜改善認知降低失智","""失眠, 睡眠, 睡不好,  多夢, 昏沉, 身心科, 睡眠諮詢, 焦慮, 緊張, 記憶力變差, 常忘東忘西, 月經紊亂, 情緒起伏大, 憂鬱, 恐慌, 失智, 安眠藥, 強迫症, 躁鬱, 專注""",睡眠
EECP,"EECP, 體外加強反搏, 體外反搏","EECP 體外反搏治療，是一項非侵入性的先進科技循環治療技術，透過心跳節律同步加壓活氧氣囊，從小腿→大腿→臀部依序收縮，將血液引導回流心臟與腦部，達到宛如「超慢跑」的有氧運動效果，提升全身含氧量與循環效率，調節失調自律神經：改善壓力、失眠、慢性疲勞，更幫助「細胞能量核心—粒線體」獲取重要能量，重新啟動身體修復與代謝力。

主要治療功效：
 ▲改善睡眠品質｜提升含氧量、促進睡眠激素分泌
 ▲調節自律神經｜穩定神經節律、緩解壓力焦慮
 ▲打通循環代謝｜加速代謝排毒、降低發炎反應
 ▲強化血液心肺｜供氧量提升、降低心血管風險
 ▲提升細胞代謝｜增進粒線體生產效率與修復","""失眠, 睡眠, 睡不好, 多夢, 昏沉, 身心科, EECP""",睡眠
PBM紅光粒線體,"紅光, PBM紅光, PBM","PBM紅光治療，是運用最理想的特定波長範圍630~980nm 的「醫療級紅光能量」完全非侵入性的光照技術，可照射身體直達「細胞能量核心—粒線體」，為每顆人體重要細胞「電池」進行充電與活化，讓本來沒電的身體細胞重新運作，治療後可感受到整體有精神，晚上容易放鬆入睡，國際醫學公認適用於多元化治療。

主要治療功效：
 ▲活化粒線體｜提升細胞運作效能
 ▲提升防護力｜降低發炎反應、抗氧化
 ▲幫助深層睡眠｜增強 ATP合成、提升褪黑激素
 ▲加速細胞修復｜促進深層細胞組織修復與再生
","""失眠, 睡眠, 睡不好, 臉部肌膚保養, 調節自律神經, 脂肪代謝""",睡眠
NEO,"Neo, NEO, 尼爾, 熱磁",我們熱磁減脂特別引進國際品牌BTL英國原廠，擁有雙效技術RF減脂電波+HIFEM超高聚焦磁能。7段式科技鍛鍊，超越一般運動表現。肌肉大幅增生，緊緻線條。預熱/增生肌肉，提升鍛鍊成效。破壞脂肪細胞，體圍減少。適合產後媽媽多年、產後腹直肌分離(肚子外凸較垂)、產後輕微皮膚鬆弛、辦公室長期久坐者、肌少型肥胖者、不想侵入式手術者、運動節食無法消除局部肥胖者、搭配減重療程的族群、BMI<35皆可適用。完整30分鐘針對深層脂肪進行同步增肌、減脂和燃脂代謝。熱磁減脂畢竟是非侵入性，每一次都會有每一次的改善效果，當下結束後都能立即感受到部位更加緊實，部位收緊更有線條輪廓，治療後可以透過多喝水並保持適當的飲食和運動來提升整體代謝率，加速受熱後不會再生的脂肪代謝排出，這樣的結果是可以持久的,"""產後媽媽, 增肌, 減脂, 久坐, 肥胖, 胖, 肚子, 體脂肪, 線條不滿意, 脂肪, 手臂, 體雕, NEO, 腹部, 腰, 臀部, 屁股, 修復腹直肌分離, 減少內臟脂肪, 基礎代謝率, 腿部瘦身""",體雕
EMBODY,"EMBODY, embody",高強度電磁能技術，能量探頭完整覆蓋大面積部位並直達脂肪層，專為需要深層修復治療和肌群強化的區域設計。肌肉纖維密度高；肌肉體積增加。改善腹直肌分離，幫助恢復肌膚彈性。解決長時間久坐引發的脂肪堆積困擾。強化核心肌群，提升大肌群力量。提升身材線條緊緻度，增添美感。30分鐘可達2萬下仰臥起坐後有微微酸酸的感受，同時部位收緊感覺更加緊緻，過程完全非侵入所以不用擔心有修復期問題，全程不痛躺著就好。不適合孕婦及哺乳期女性、身體有金屬植入物(如心臟起博器、金屬支架等)和近期剛接受手術患者，如有特殊情況可以先和醫生詢問評估。,"""產後媽媽, 增肌, 減脂, 久坐, 肥胖, 胖, 肚子, 體脂肪, 線條不滿意, 脂肪, 手臂, 體雕, EMBODY, 腹直肌分離, 核心肌群缺乏, 腿部瘦身""",體雕
冷凍減脂,"冷凍減脂, 冷脈衝","冷凍減脂是特別引進德國Z塑酷，擁有智能溫控安全性高＋舒適羊毛防凍貼片，透過 -10°C 專利冷脈衝技術，精準結晶化脂肪細胞，啟動細胞自噬與自然凋亡，用科學方式掃除頑固贅肉！
 ▲無創非侵入、免麻醉、無修復期，全程60分鐘安全舒適
 ▲適合局部脂肪、代謝變慢、體重反覆、腹部、大腿、側腰、蝴蝶袖等頑固部位
目前也有提供雙探頭同步精準鎖定，針對難瘦的「腹部／側腰／大腿／手臂／背肉」對稱部位任選喔
一次就能感覺到局部脂肪減少的變化，若部位脂肪較厚建議 2～3 次以上，效果通常會更明顯！
由於每個人的「體脂分布 、代謝狀況 、生活習慣」都不相同，我們會建議先從全面性的檢測開始來規劃適合的次數，達到理想的身形變化與效果
以下是相關影片介紹，您可以先觀看幫助快速了解唷

【冷凍減脂搶救身材改善多餘脂肪】
https://youtu.be/08fcjRSHoKA?si=zRB-uPuI2y7eYcKH

【擺脫手臂掰掰肉、大腿馬鞍肉？】
https://youtu.be/XQz8s1dcXC8?si=zC2l9a6LcG8UqXw7

【不流汗躺著輕鬆消滅頑固脂肪】
https://www.facebook.com/share/v/17Nc3FQ4Bo/

【冷凍用低溫「凍死」脂肪細胞】
https://www.facebook.com/share/v/16HDA6UMip/","""產後族群的脂肪堆積, 增肌, 減脂, 久坐, 肥胖, 胖, 肚子, 體脂肪, 線條不滿意, 脂肪, 手臂, 體雕, 冷凍, 長期水腫者, 擔心恢復期長, 不想動刀者, 腿部, 腰圍""",體雕
冷凍減脂 + MitoX粒線體,"冷凍減脂, 冷脈衝","簡單來說多餘脂肪就像體內的「垃圾」越堆越多！

 ▲冷凍減脂＝把多餘脂肪垃圾打包加速清掉

 ▲MitoX 紅光＝喚醒粒線體，把「好細胞」叫醒工作，讓代謝打開

很多客人回饋是褲頭變鬆了、肚子比較平、腰線也漸漸出來","""產後族群的脂肪堆積, 增肌, 減脂, 久坐, 肥胖, 胖, 肚子, 體脂肪, 線條不滿意, 脂肪, 手臂, 體雕, 冷凍, 長期水腫者, 擔心恢復期長, 不想動刀者, 腿部, 腰圍""",體雕
EMFACE,"emface, 菲斯波","利用高強度電磁刺激深層肌肉收縮，增加肌肉緊密度，加強血液循環，活化膠原蛋白的同時撫平皺紋，讓肌肉恢復彈性——簡單來說就是幫您臉部無痛拉皮，避免臉部雪崩式的衰老。臉部結構如同一棟房子，隨著時間推移，鋼筋(肌肉) 和水泥(膠原蛋白) 鬆弛下垂，EMFACE 重新建立肌膚底層，讓臉部恢復堅固，就像給你的臉部進行全方位升級，讓你看起來年輕自然。EMFACE(菲斯波)儀器治療是無侵入性，而且無需麻醉、無痛感，只需20分鐘即可讓您臉部煥然一新。如果患有嚴重疾病、金屬或電子植入物則不建議接受治療，如處於懷孕階段建議產後3個月後，有哺乳則建議停止餵哺後一週再施作。

若老化狀況較為明顯，想加快改善進度，也能安排間隔一週再次施作，這樣能加速肌底支撐性與張力提升，同步促進深層膠原蛋白增生，效果自然且穩定持久，一般維持 一年以上不是問題。提供建議完整評估，每個人肌膚年齡、膚況、生活作息與保養習慣不同，都是影響老化速度的重要因素。

因此我們會為您完整評估，依據個人狀況可規劃「月保養、季補強或年度維護等方式進行」幫您找到最適合的次數與節奏。這是對比照:https://hopkins-main.s3.ap-northeast-1.amazonaws.com/LINE_PHOTOS/emface_ollie_ba.jpg。想了解更多資訊可至: https://www.hopkins.com.tw/emface
","""斑點, 臉部, 肌膚暗沉, 膚色不均, 臉, 皺紋, Emface, 臉部諮詢, 下垂, 凹陷, 膠原蛋白流失, 臉部輪廓, 眼尾紋, 抬頭紋, 嘴角細紋, 蘋果肌, 肌膚彭潤彈性, 法令紋, 木偶紋, 雙下巴, 眉壓眼, 下顎線條, 顳顎關節, 抗老, 拉提""",臉部
鉑金蜂巢皮秒,"蜂巢皮秒, PicosurePRO, PicosurePRO鉑金蜂巢皮秒","PicoSure Pro 鉑金蜂巢皮秒採用 755nm 波長，更適合亞洲膚質，能精準作用於黑色素，同時啟動膠原蛋白新生，讓肌膚不只是變乾淨，更顯細緻透亮，一機除斑 × 養膚 × 嫩膚。

 ▲精準淡化斑點
755nm 波長對黑色素吸收效率更佳，改善曬斑、雀斑、色素沉澱及痘疤。

 ▲同步養膚嫩膚
鉑金蜂巢探頭深入肌膚，協助刺激膠原蛋白新生，改善毛孔、細紋與膚質。

 ▲能量再升級
新一代鉑金蜂巢探頭，能量較前一代提升，提升治療效率與舒適度。

 ▲修復期更短
降低熱傷害，術後泛紅較少、恢復更快，日常生活不受影響。","""黑色素, 刺青, 痘疤, 細紋, 肝斑, 太田母斑, 顴骨母斑""",臉部
AlmaDUO 野馬波,"Alma Duo, 野馬波, AlmaDUO","我們的【AlmaDUO 野馬波】是採用全球領先的 「水電震波技術」

 ▲目前私密處醫療領域中 唯一能同時做「深層血管修復 × 組織再生」的雙層能量，全面提升循環、敏感度與功能反應！

 ▲全程無痛、非侵入、無修復期，15 分鐘即可完成一次深層活化。
就像把「水管淤塞、水流變慢」重新打通，改善因壓力、久坐、年齡造成的敏感度下降、乾澀不適、硬度不足等問題！

 ▲能明顯提升：充血能力、神經敏感度、盆底循環、組織水潤度、自然反應力

 ▲男女都能恢復自然的 「感覺 × 反應 × 舒適度」，讓日常親密互動更有感","""性功能下降, 性功能退化, 親密關係, 性敏感度減弱, 性生活滿意度降低, 攝護腺問題, 攝護腺癌, 性功能障礙, 盆底肌肉張力降低, 陰道乾燥 """,私密處
